movie_id,director
246894,John McTiernan
308208,Wych Kaosayananda
120696,Mikael Salomon
181739,Bobby Farrelly
884726,Will Finn
2717822,Michael Mann
346156,Kerry Conran
430912,Michael Caton-Jones
1211956,Mikael Håfström
1043726,Renny Harlin
164184,Phil Alden Robinson
1325004,David Slade
227445,Frank Oz
1323594,Pierre Coffin
113845,Joseph Ruben
2637276,Seth MacFarlane
1186830,Alejandro Amenábar
132347,Kinka Usher
480687,Bobby Farrelly
140352,Michael Mann
2025690,Craig Gillespie
758774,Ridley Scott
427152,Jay Roach
1611224,Timur Bekmambetov
137494,Jon Amiel
120902,Rob Bowman
462396,Doug Lefler
120815,Steven Spielberg
2369135,Scott Waugh
207201,Nancy Meyers
268380,Chris Wedge
285531,Lawrence Kasdan
443272,Steven Spielberg
133093,Lana Wachowski
112384,Ron Howard
100802,Paul Verhoeven
304669,Michael Lembeck
1707386,Tom Hooper
128853,Nora Ephron
838283,Adam McKay
120746,Martin Campbell
1231583,Todd Phillips
186566,Clint Eastwood
106582,Renny Harlin
115759,John Woo
219854,Jon Turteltaub
469641,Oliver Stone
304415,Mike Newell
1645170,Larry Charles
120663,Stanley Kubrick
1823664,Will Gluck
2381941,Glenn Ficarra
1596350,McG
359013,David S. Goyer
87985,John Milius
119942,Mike Nichols
1855325,Paul W.S. Anderson
452608,Paul W.S. Anderson
116908,Renny Harlin
228750,Taylor Hackford
406375,Jon Favreau
137523,David Fincher
758794,McG
102070,Michael Lehmann
219952,Nora Ephron
1418377,Stuart Beattie
380599,Roman Polanski
357277,Rob Bowman
458481,Frank Miller
156934,Sydney Pollack
2719848,Baltasar Kormákur
396171,Tom Tykwer
295178,Jay Roach
375568,David Bowers
107290,Steven Spielberg
111756,Lawrence Kasdan
109444,Phillip Noyce
3672840,Daniel Lee
430304,Keenen Ivory Wayans
141926,Jonathan Mostow
112346,Rob Reiner
811138,Marco Schnabel
233142,Demian Lichtenstein
3460252,Quentin Tarantino
445934,Josh Gordon
1411704,Tim Hill
416449,Zack Snyder
290002,Jay Roach
822832,David Frankel
120689,Frank Darabont
486946,Walt Becker
371606,Mark Dindal
2267998,David Fincher
258463,Doug Liman
113189,Martin Campbell
144214,Simon West
120382,Peter Weir
120794,Brenda Chapman
317303,Steve Carr
1272878,Baltasar Kormákur
239395,Lawrence Guterman
317740,F. Gary Gray
313737,Marc Lawrence
120587,Eric Darnell
1078940,Peter Billingsley
99371,Tony Scott
452598,Adam Shankman
4046784,Wes Ball
879870,Ryan Murphy
218967,Brett Ratner
1245526,Robert Schwentke
146838,Oliver Stone
119314,Robert Redford
369339,Michael Mann
277296,Chuck Russell
349710,Jay Russell
149261,Renny Harlin
1477715,Kenny Ortega
1598778,Steven Soderbergh
257568,David McNally
327597,Henry Selick
949731,M. Night Shyamalan
328107,Tony Scott
393735,Brian Robbins
335438,Todd Phillips
116705,Brian Levant
167190,Guillermo del Toro
120633,Steven Zaillian
1623288,Chris Butler
119395,Michael Caton-Jones
338337,John Woo
118055,Jon Avnet
420238,Sam Fell
290095,Kevin Donovan
114781,Geoff Murphy
1205537,Kenneth Branagh
2446980,David O. Russell
3300542,Babak Najafi
118583,Jean-Pierre Jeunet
822854,Antoine Fuqua
787474,Graham Annable
120791,Griffin Dunne
1490017,Phil Lord
385307,John Pasquin
253556,Rob Bowman
1321870,Ruben Fleischer
1045778,Harold Ramis
1057500,Clint Eastwood
473705,Kevin Macdonald
1135487,Tony Gilroy
120764,Donald Petrie
443632,Clark Johnson
762125,Jorge Blanco
253754,Stuart Baird
138524,Joel Coen
2083383,Robert Lorenz
1226273,Martin Campbell
120004,Peter Hyams
289848,Harold Ramis
1034331,Jon Avnet
821642,Joe Wright
146984,Robert Redford
181875,Cameron Crowe
455499,Tim Hill
329774,Lee Tamahori
822847,Scott Stewart
165982,Patrick Gilmore
119081,Paul W.S. Anderson
848228,Joss Whedon
259288,Tom Shadyac
387877,Brian De Palma
454824,Tony Bill
272020,Rod Lurie
134983,Walter Hill
1837709,Akiva Goldsman
1538403,Harald Zwart
765476,Brian Robbins
382628,Walter Salles
131369,Ron Howard
494238,Iain Softley
831887,Frank Miller
3045616,David Koepp
460780,Uwe Boll
294357,Martin Campbell
4591310,Pou-Soi Cheang
326905,John Dahl
1431045,Tim Miller
120701,Stephen Herek
2179136,Clint Eastwood
425123,Mark Waters
158622,Brian Levant
95956,Peter MacDonald
379865,George Clooney
2479478,Frank Coraci
1314228,Marc Lawrence
2234155,Shawn Levy
1220634,Paul W.S. Anderson
485985,Anthony Hemingway
118971,Taylor Hackford
1232200,Sean Anders
116136,Rob Cohen
367479,Brett Ratner
1071875,Mark Neveldine
238112,John Madden
395699,Adam Shankman
351977,Kevin Bray
109830,Robert Zemeckis
952640,Tim Hill
212338,Jay Roach
114148,Mike Gabriel
78346,Richard Donner
117218,Tom Shadyac
386588,Andy Tennant
119190,Sam Weisman
328828,Jesse Dylan
1535109,Paul Greengrass
1279935,Shawn Levy
112642,Brad Silberling
455944,Antoine Fuqua
252076,Wayne Wang
112740,Tony Scott
454921,Gabriele Muccino
408790,Robert Schwentke
109635,Barry Levinson
120632,Brad Silberling
266697,Quentin Tarantino
131325,Frank Oz
378194,Quentin Tarantino
98439,Andrey Konchalovskiy
104070,Robert Zemeckis
184894,Tom Dey
116253,Stuart Baird
1396218,Mark Waters
865556,Rob Minkoff
1621039,Jimmy Hayward
103644,David Fincher
116250,Alan Parker
122690,John Frankenheimer
116409,Stephen Hopkins
1109624,Paul King
269347,William Friedkin
128278,Jon Turteltaub
338466,Bobby Farrelly
839980,Kent Alterman
1430626,Peter Lord
824747,Clint Eastwood
115857,Andrew Davis
116277,Tony Scott
293508,Joel Schumacher
414055,Shekhar Kapur
402022,Karyn Kusama
279111,Ron Maxwell
120390,Robert Butler
780567,Karey Kirkpatrick
2281587,James Bobin
167456,Jonathan Frakes
1126591,Steve Antin
344510,Jean-Pierre Jeunet
160184,Jim Gillespie
187738,Guillermo del Toro
814314,Gabriele Muccino
1308729,Walter Hill
99674,Francis Ford Coppola
368709,Cameron Crowe
463034,Anthony Russo
81573,Richard Lester
299930,Martin Brest
405676,Steven Zaillian
162650,John Singleton
118617,Don Bluth
203009,Baz Luhrmann
249478,Harold Becker
1355683,Scott Cooper
418689,Clint Eastwood
1197624,F. Gary Gray
462322,Robert Rodriguez
120603,Jonathan Demme
338216,Curtis Hanson
264464,Steven Spielberg
1790885,Kathryn Bigelow
452594,Peyton Reed
795421,Phyllida Lloyd
817230,Garry Marshall
377818,Jay Chandrasekhar
120863,Terrence Malick
1488555,David Dobkin
125664,Milos Forman
112641,Martin Scorsese
1179034,Pierre Morel
245803,Paul Hunter
183505,Bobby Farrelly
414853,Steve Oedekerk
790604,John Whitesell
1259571,Chris Weitz
126029,Andrew Adamson
1385826,George Nolfi
102798,Kevin Reynolds
116695,Cameron Crowe
1637725,Seth MacFarlane
119822,James L. Brooks
129290,Tom Shadyac
1229340,Adam McKay
280590,Steven Brill
1650062,J.J. Abrams
195685,Steven Soderbergh
251127,Donald Petrie
2294449,Phil Lord
110148,Neil Jordan
1068680,Peyton Reed
1489889,Rawson Marshall Thurber
120686,Chris Columbus
1528854,Sean Anders
2180411,Rob Marshall
454848,Spike Lee
120784,Brian Helgeland
112715,Frank Marshall
1389137,Cameron Crowe
448011,Alex Proyas
427229,Tom Dey
377109,Hideo Nakata
1570728,Glenn Ficarra
356634,Peter Hewitt
388419,Joe Roth
1210166,Bennett Miller
114069,Wolfgang Petersen
2024469,Jaume Collet-Serra
1075417,Andy Fickman
434409,James McTeigue
300471,David Dobkin
381971,Matthew O'Callaghan
400497,Angela Robinson
260866,Gary Fleder
1428538,Tommy Wirkola
250797,Adrian Lyne
1464540,D.J. Caruso
4172430,Michael Bay
2262227,Jorge R. Gutiérrez
408345,Richard Loncraine
118548,Clint Eastwood
119173,Ridley Scott
119174,David Fincher
384537,Christophe Gans
191397,Howard Deutch
1605630,Jon Hurwitz
120768,F. Gary Gray
2106361,Steven Quale
109254,John Landis
99700,Joe Dante
1872194,David Dobkin
119874,Mimi Leder
318627,Alexander Witt
317198,Beeban Kidron
313443,Carl Franklin
110725,Steven Seagal
424774,Robert Rodriguez
163978,Danny Boyle
350028,Garry Marshall
1186367,James McTeigue
126916,Sam Raimi
117765,Andrew Bergman
1392197,Tom Dey
1212419,Clint Eastwood
112401,Richard Donner
367959,Peter Webber
160916,Rob Reiner
1517260,Andrew Niccol
264395,John McTiernan
309377,Clint Eastwood
963178,Tom Tykwer
116225,John Carpenter
129167,Brad Bird
362270,Wes Anderson
1124037,Gary Ross
289992,Alan Parker
331933,Stephen Herek
2199571,Jaume Collet-Serra
765443,David Cronenberg
378109,John Stockwell
151137,Luc Besson
1240982,David Gordon Green
1462041,Jim Sheridan
119592,Costa-Gavras
109190,Patrick Read Johnson
114345,Roland Joffé
977855,Doug Liman
421054,Tony Scott
113451,William Friedkin
1034032,Mark Neveldine
1559547,Richard LaGravenese
266452,Danny DeVito
1608290,Ben Stiller
315824,George Armitage
181151,Mike Nichols
1502404,Patrick Lussier
891592,Andrzej Bartkowiak
267804,James Wong
98987,Renny Harlin
1131729,Richard Curtis
181865,Steven Soderbergh
97576,Steven Spielberg
1781769,Joe Wright
1823672,Neill Blomkamp
145681,Phillip Noyce
258000,David Fincher
473553,Chuck Bowman
120188,David O. Russell
1014763,Daniel Espinosa
250687,Jerry Zucker
272152,Iain Softley
35423,James Mangold
230030,Harold Ramis
87089,Francis Ford Coppola
381849,James Mangold
2446042,Olivier Megaton
120780,Steven Soderbergh
115798,Ben Stiller
150433,Deepa Mehta
99422,Warren Beatty
155267,John McTiernan
200027,Penny Marshall
69293,Andrei Tarkovsky
308353,Paul Bolger
117002,Stephen Frears
119738,P.J. Hogan
265029,Joe Roth
278504,Christopher Nolan
117731,Jonathan Frakes
1075747,Jimmy Hayward
115956,Edward Zwick
119528,Tom Shadyac
1355631,Brad Furman
84132,Terence Young
109813,Brian Levant
1397280,Olivier Megaton
306047,David Zucker
212346,Donald Petrie
373051,Eric Brevig
368933,Garry Marshall
107798,Alan J. Pakula
109446,Joel Schumacher
825232,Rob Reiner
105112,Phillip Noyce
369735,Robert Luketic
1392214,Denis Villeneuve
139654,Antoine Fuqua
177789,Dean Parisot
257106,Keenen Ivory Wayans
1204342,James Bobin
120611,Stephen Norrington
393162,Thomas Carter
264472,Roger Michell
118615,Luis Llosa
200550,David McNally
314331,Richard Curtis
120623,John Lasseter
111255,Luis Llosa
117918,Ron Shelton
63829,Melville Shavelson
384642,Jesse Dylan
371724,Garth Jennings
396592,Joel Zwick
432021,Russell Mulcahy
1086772,Frank Coraci
408985,Wayne Wang
110997,Curtis Hanson
113419,Frank Oz
1615065,Oliver Stone
337921,David R. Ellis
274166,Peter Howitt
429589,John A. Davis
87182,David Lynch
959337,Sam Mendes
450232,Richard Donner
364970,Mathieu Kassovitz
116421,John Gray
117108,Harold Ramis
775552,John Schultz
237572,Sean Penn
395251,Susan Stroman
1343727,Pete Travis
117331,Simon Wincer
149624,Billy Bob Thornton
113987,Oliver Stone
1139328,Roman Polanski
118956,Stephen Sommers
1046997,Spike Lee
473444,Yimou Zhang
814022,Danny Pang
246464,Barry Sonnenfeld
484740,Mike Newell
120107,George P. Cosmatos
1634122,Oliver Parker
249516,Lawrence Kasanoff
1024648,Ben Affleck
106977,Andrew Davis
1038919,Andy Tennant
117665,Barry Levinson
89880,George P. Cosmatos
116731,Brian Gibson
32910,Norman Ferguson
80855,Michael Cimino
401855,Len Wiseman
181536,Gus Van Sant
191754,Betty Thomas
342258,Louis Leterrier
253867,Roger Kumble
106918,Sydney Pollack
1438254,Burr Steers
472399,Simon West
1232829,Phil Lord
125439,Roger Michell
120630,Peter Lord
343135,John Hamburg
103859,Reginald Hudlin
2404463,Paul Feig
56937,Joseph L. Mankiewicz
1648179,Frank Coraci
257756,Carl Franklin
117057,Barbra Streisand
265349,Mark Pellington
889583,Larry Charles
97742,John Glen
1486185,Catherine Hardwicke
179626,John Herzfeld
108255,Annabel Jankel
399295,Andrew Niccol
1598828,Julie Anne Robinson
2788710,Evan Goldberg
1032751,Sngmoo Lee
1149361,Jean-Pierre Jeunet
298203,Curtis Hanson
1220911,Jamel Debbouze
183790,Brian Helgeland
288045,Gordon Chan
167404,M. Night Shyamalan
1568338,Asger Leth
1053810,David Frankel
1800241,David O. Russell
1041829,Anne Fletcher
150377,Bruce Beresford
96874,Robert Zemeckis
2872732,Luc Besson
2322441,Sam Taylor-Johnson
338459,Robert Rodriguez
117913,Joel Schumacher
349205,Shawn Levy
1091191,Peter Berg
104694,Penny Marshall
3065204,James Wan
1285016,David Fincher
1001508,Ken Kwapis
362120,David Zucker
134084,Wes Craven
99088,Robert Zemeckis
2561572,Etan Cohen
103874,Francis Ford Coppola
